5.00,3.00,33.00,1.00,5.00,0.00,25.00,1.00,57.00,7.00,1.00,14.00,1.00
0.00,16.00,15.00,0.00,12.00,1.00,18.00,6.00,2.00,12.00,43.00,13.00,1.00
11.00,8.00,56.00,0.00,0.00,0.00,23.00,0.00,19.00,20.00,1.00,39.00,1.00
0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,4.00,1.00
0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,3.00,1.00
3.00,134.00,137.00,4.00,10.00,0.00,67.00,50.00,31.00,2.00,29.00,5.00,1.00
0.00,1.00,63.00,2.00,12.00,0.00,25.00,3.00,7.00,1.00,3.00,11.00,1.00
0.00,9.00,14.00,0.00,1.00,0.00,7.00,0.00,8.00,0.00,3.00,10.00,1.00
4.00,7.00,6.00,0.00,1.00,0.00,2.00,1.00,7.00,11.00,2.00,8.00,1.00
0.00,1.00,8.00,0.00,4.00,0.00,3.00,0.00,1.00,2.00,3.00,1.00,1.00
1.00,1.00,6.00,0.00,8.00,0.00,11.00,0.00,22.00,0.00,1.00,4.00,1.00
3.00,15.00,43.00,1.00,0.00,0.00,11.00,0.00,14.00,32.00,4.00,18.00,1.00
13.00,136.00,68.00,1.00,2.00,0.00,4.00,3.00,51.00,8.00,25.00,103.00,1.00
3.00,84.00,56.00,0.00,2.00,0.00,1.00,2.00,28.00,11.00,9.00,24.00,1.00
0.00,1.00,15.00,0.00,0.00,0.00,5.00,1.00,5.00,0.00,2.00,2.00,1.00
0.00,0.00,6.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,7.00,5.00,1.00
12.00,263.00,90.00,1.00,1.00,0.00,5.00,0.00,49.00,3.00,10.00,84.00,1.00
0.00,1.00,44.00,0.00,1.00,0.00,19.00,1.00,26.00,1.00,1.00,3.00,1.00
0.00,7.00,36.00,1.00,2.00,0.00,20.00,1.00,28.00,0.00,0.00,12.00,1.00
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00
0.00,2.00,26.00,1.00,2.00,2.00,15.00,1.00,12.00,0.00,7.00,35.00,1.00
0.00,33.00,37.00,0.00,11.00,0.00,28.00,10.00,16.00,8.00,26.00,21.00,1.00
0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
0.00,2.00,21.00,0.00,0.00,0.00,9.00,0.00,9.00,2.00,0.00,4.00,1.00
3.00,12.00,26.00,0.00,1.00,0.00,15.00,0.00,21.00,23.00,1.00,38.00,1.00
1.00,11.00,14.00,0.00,11.00,0.00,7.00,1.00,3.00,3.00,6.00,10.00,1.00
0.00,6.00,4.00,0.00,0.00,0.00,4.00,12.00,2.00,0.00,3.00,4.00,1.00
1.00,3.00,3.00,0.00,0.00,0.00,4.00,1.00,1.00,3.00,1.00,5.00,1.00
0.00,2.00,17.00,0.00,1.00,0.00,1.00,1.00,14.00,2.00,6.00,3.00,1.00
